Data from roomtemp_23.0_mrosen_r2_290 nm__0__15-13-26-658.txt Node

Standard Time	Epoch Time		Value
HH:MM:SS:000	(msec 1970)
15:13:26.653	1729894406653	0.03046
15:13:26.673	1729894406673	0.04026
15:13:26.692	1729894406692	0.03881
15:13:26.711	1729894406711	0.03102
15:13:26.731	1729894406731	0.0345
15:13:26.750	1729894406750	0.0391
15:13:26.770	1729894406770	0.04037
15:13:26.789	1729894406789	0.03792
15:13:26.808	1729894406808	0.03631
15:13:26.828	1729894406828	0.03572
15:13:26.847	1729894406847	0.03431
15:13:26.867	1729894406867	0.04322
15:13:26.886	1729894406886	0.0407
15:13:26.906	1729894406906	0.03506
15:13:26.925	1729894406925	0.0376
15:13:26.964	1729894406964	0.04108
15:13:26.984	1729894406984	0.03054
15:13:27.003	1729894407003	0.03873
15:13:27.022	1729894407022	0.03396
15:13:27.042	1729894407042	0.04035
15:13:27.061	1729894407061	0.03407
15:13:27.081	1729894407081	0.03234
15:13:27.100	1729894407100	0.03165
15:13:27.120	1729894407120	0.042
15:13:27.139	1729894407139	0.0353
15:13:27.158	1729894407158	0.04062
15:13:27.178	1729894407178	0.0362
15:13:27.198	1729894407198	0.03695
15:13:27.217	1729894407217	0.03242
15:13:27.236	1729894407236	0.02694
15:13:27.256	1729894407256	0.03744
15:13:27.275	1729894407275	0.03819
15:13:27.295	1729894407295	0.0424
15:13:27.314	1729894407314	0.03208
15:13:27.314	1729894407314	0.03208
15:13:27.346	1729894407346	0.02804
15:13:27.373	1729894407373	0.03634
15:13:27.392	1729894407392	0.03843
15:13:27.411	1729894407411	0.03221
15:13:27.431	1729894407431	0.02957
15:13:27.450	1729894407450	0.03447
15:13:27.470	1729894407470	0.03253
15:13:27.489	1729894407489	0.03372
15:13:27.528	1729894407528	0.03484
15:13:27.548	1729894407548	0.03562
15:13:27.567	1729894407567	0.03795
15:13:27.587	1729894407587	0.03359
15:13:27.606	1729894407606	0.02893
15:13:27.625	1729894407625	0.02696
15:13:27.644	1729894407644	0.03527
15:13:27.664	1729894407664	0.03819
15:13:27.684	1729894407684	0.03115
15:13:27.703	1729894407703	0.04124
15:13:27.723	1729894407723	0.03218
15:13:27.742	1729894407742	0.04078
15:13:27.761	1729894407761	0.03679
