x,y
5836.5000000000,0.0383887237
5836.0000000000,0.0384404443
5835.5000000000,0.0384404443
5835.0000000000,0.0387508780
5834.5000000000,0.0378718073
5834.0000000000,0.0385439011
5833.5000000000,0.0381301999
5833.0000000000,0.0378718073
5832.5000000000,0.0379751486
5832.0000000000,0.0387508780
5831.5000000000,0.0384921701
5831.0000000000,0.0380268271
5830.5000000000,0.0378718073
5830.0000000000,0.0377168348
5829.5000000000,0.0378201446
5829.0000000000,0.0382852984
5828.5000000000,0.0384404443
5828.0000000000,0.0388543980
5827.5000000000,0.0378718073
5827.0000000000,0.0375619095
5826.5000000000,0.0388026354
5826.0000000000,0.0387508780
5825.5000000000,0.0391650846
5825.0000000000,0.0379234753
5824.5000000000,0.0383370084
5824.0000000000,0.0388026354
5823.5000000000,0.0379751486
5823.0000000000,0.0372522003
5822.5000000000,0.0381818941
5822.0000000000,0.0415533406
5821.5000000000,0.0400982846
5821.0000000000,0.0390615013
5820.5000000000,0.0384921701
5820.0000000000,0.0381301999
5819.5000000000,0.0383370084
5819.0000000000,0.0378201446
5818.5000000000,0.0381818941
5818.0000000000,0.0386473790
5817.5000000000,0.0390097176
5817.0000000000,0.0388026354
5816.5000000000,0.0451044748
5816.0000000000,0.0447377700
5815.5000000000,0.0406694174
5815.0000000000,0.0385439011
5814.5000000000,0.0397870276
5814.0000000000,0.0399945111
5813.5000000000,0.0398388906
5813.0000000000,0.0413452205
5812.5000000000,0.0413452205
5812.0000000000,0.0429082013
5811.5000000000,0.0405655274
5811.0000000000,0.0398907588
5810.5000000000,0.0394241351
5810.0000000000,0.0413452205
5809.5000000000,0.0575175518
5809.0000000000,0.0539856476
5808.5000000000,0.0457337272
5808.0000000000,0.0413972425
5807.5000000000,0.0395277923
5807.0000000000,0.0394241351
5806.5000000000,0.0388543980
5806.0000000000,0.0386991259
5805.5000000000,0.0417615460
5805.0000000000,0.0440574475
5804.5000000000,0.0413972425
5804.0000000000,0.0390615013
5803.5000000000,0.0381818941
5803.0000000000,0.0381818941
5802.5000000000,0.0383370084
5802.0000000000,0.0390615013
5801.5000000000,0.0552136806
5801.0000000000,0.0762226831
5800.5000000000,0.0552136806
5800.0000000000,0.0419698366
5799.5000000000,0.0381301999
5799.0000000000,0.0380785109
5798.5000000000,0.0376135460
5798.0000000000,0.0382852984
5797.5000000000,0.0394759611
5797.0000000000,0.0512201059
5796.5000000000,0.0468893825
5796.0000000000,0.0409812150
5795.5000000000,0.0382852984
5795.0000000000,0.0381301999
5794.5000000000,0.0380268271
5794.0000000000,0.0374586521
5793.5000000000,0.0381301999
5793.0000000000,0.0380268271
5792.5000000000,0.0394241351
5792.0000000000,0.0616152072
5791.5000000000,0.1072924802
5791.0000000000,0.0735555377
5790.5000000000,0.0474155496
5790.0000000000,0.0391650846
5789.5000000000,0.0380785109
5789.0000000000,0.0378201446
5788.5000000000,0.0387508780
5788.0000000000,0.0411371854
5787.5000000000,0.0606957560
5787.0000000000,0.0559626331
5786.5000000000,0.0449996750
5786.0000000000,0.0388026354
5785.5000000000,0.0386991259
5785.0000000000,0.0386991259
5784.5000000000,0.0382335936
5784.0000000000,0.0377684871
5783.5000000000,0.0383887237
5783.0000000000,0.0377684871
5782.5000000000,0.0382852984
5782.0000000000,0.0399426323
5781.5000000000,0.0437437591
5781.0000000000,0.1061685316
5780.5000000000,0.1379254020
5780.0000000000,0.0825573615
5779.5000000000,0.0475735059
5779.0000000000,0.0401501792
5778.5000000000,0.0385956375
5778.0000000000,0.0381818941
5777.5000000000,0.0385956375
5777.0000000000,0.0488389255
5776.5000000000,0.0819372336
5776.0000000000,0.0628075577
5775.5000000000,0.0463112267
5775.0000000000,0.0393204991
5774.5000000000,0.0386991259
5774.0000000000,0.0384404443
5773.5000000000,0.0377684871
5773.0000000000,0.0377168348
5772.5000000000,0.0379234753
5772.0000000000,0.0385439011
5771.5000000000,0.0388026354
5771.0000000000,0.0385439011
5770.5000000000,0.0399426323
5770.0000000000,0.0404616585
5769.5000000000,0.0450520722
5769.0000000000,0.0941393853
5768.5000000000,0.1977251767
5768.0000000000,0.1256218649
5767.5000000000,0.0645468907
5767.0000000000,0.0437960271
5766.5000000000,0.0407733287
5766.0000000000,0.0395796288
5765.5000000000,0.0398388906
5765.0000000000,0.0464688404
5764.5000000000,0.0946012657
5764.0000000000,0.0847621086
5763.5000000000,0.0563911017
5763.0000000000,0.0415013026
5762.5000000000,0.0389061660
5762.0000000000,0.0384921701
5761.5000000000,0.0391650846
5761.0000000000,0.0384921701
5760.5000000000,0.0376135460
5760.0000000000,0.0391650846
5759.5000000000,0.0390615013
5759.0000000000,0.0392168842
5758.5000000000,0.0390097176
5758.0000000000,0.0391650846
5757.5000000000,0.0388543980
