Data from elevtemp28_1_mrosen_r3_290 nm__0__16-01-22-560.txt Node

Standard Time	Epoch Time		Value
HH:MM:SS:000	(msec 1970)
16:01:22.548	1729724482548	-0.03647
16:01:22.570	1729724482570	-0.02701
16:01:22.589	1729724482589	-0.03244
16:01:22.609	1729724482609	-0.03376
16:01:22.650	1729724482650	-0.03166
16:01:22.671	1729724482671	-0.03023
16:01:22.671	1729724482671	-0.03023
16:01:22.691	1729724482691	-0.03099
16:01:22.732	1729724482732	-0.03199
16:01:22.752	1729724482752	-0.02983
16:01:22.773	1729724482773	-0.0246
16:01:22.793	1729724482793	-0.02655
16:01:22.793	1729724482793	-0.02655
16:01:22.814	1729724482814	-0.02908
16:01:22.834	1729724482834	-0.02599
16:01:22.855	1729724482855	-0.02123
16:01:22.878	1729724482878	-0.02832
16:01:22.896	1729724482896	-0.02787
16:01:22.916	1729724482916	-0.0248
16:01:22.937	1729724482937	-0.0283
16:01:22.957	1729724482957	-0.03701
16:01:22.978	1729724482978	-0.0289
16:01:22.998	1729724482998	-0.02212
16:01:23.018	1729724483018	-0.02322
16:01:23.039	1729724483039	-0.02376
16:01:23.060	1729724483060	-0.03299
16:01:23.080	1729724483080	-0.03319
16:01:23.101	1729724483101	-0.0291
16:01:23.121	1729724483121	-0.02424
16:01:23.142	1729724483142	-0.03074
16:01:23.162	1729724483162	-0.02812
16:01:23.183	1729724483183	-0.03632
16:01:23.203	1729724483203	-0.02701
16:01:23.223	1729724483223	-0.02835
16:01:23.244	1729724483244	-0.02179
16:01:23.265	1729724483265	-0.03433
16:01:23.285	1729724483285	-0.03706
16:01:23.306	1729724483306	-0.03226
16:01:23.326	1729724483326	-0.03081
16:01:23.347	1729724483347	-0.03326
16:01:23.367	1729724483367	-0.02551
16:01:23.387	1729724483387	-0.02391
16:01:23.408	1729724483408	-0.03319
16:01:23.428	1729724483428	-0.02536
16:01:23.449	1729724483449	-0.02893
16:01:23.469	1729724483469	-0.03575
16:01:23.490	1729724483490	-0.02447
16:01:23.510	1729724483510	-0.03134
16:01:23.531	1729724483531	-0.02087
16:01:23.551	1729724483551	-0.02089
16:01:23.571	1729724483571	-0.03274
16:01:23.592	1729724483592	-0.02617
16:01:23.613	1729724483613	-0.02564
16:01:23.633	1729724483633	-0.02307
16:01:23.654	1729724483654	-0.03244
16:01:23.674	1729724483674	-0.02908
16:01:23.694	1729724483694	-0.03013
16:01:23.715	1729724483715	-0.02867
16:01:23.737	1729724483737	-0.03124
16:01:23.758	1729724483758	-0.03131
16:01:23.777	1729724483777	-0.02561
16:01:23.797	1729724483797	-0.03121
16:01:23.817	1729724483817	-0.03066
16:01:23.839	1729724483839	-0.03064
16:01:23.858	1729724483858	-0.02749
16:01:23.879	1729724483879	-0.0352
