Data from elevtemp28_1_mrosen_r2_290 nm__0__15-45-53-550.txt Node

Standard Time	Epoch Time		Value
HH:MM:SS:000	(msec 1970)
15:45:56.766	1729723556766	-0.03051
15:45:56.786	1729723556786	-0.03011
15:45:56.806	1729723556806	-0.03426
15:45:56.827	1729723556827	-0.03396
15:45:56.847	1729723556847	-0.03181
15:45:56.870	1729723556870	-0.03001
15:45:56.888	1729723556888	-0.02521
15:45:56.909	1729723556909	-0.03758
15:45:56.929	1729723556929	-0.03096
15:45:56.950	1729723556950	-0.02663
15:45:56.970	1729723556970	-0.03236
15:45:56.991	1729723556991	-0.03344
15:45:57.011	1729723557011	-0.03056
15:45:57.032	1729723557032	-0.02935
15:45:57.052	1729723557052	-0.02888
15:45:57.072	1729723557072	-0.02589
15:45:57.093	1729723557093	-0.0262
15:45:57.113	1729723557113	-0.02696
15:45:57.134	1729723557134	-0.03226
15:45:57.154	1729723557154	-0.03304
15:45:57.177	1729723557177	-0.02399
15:45:57.195	1729723557195	-0.03008
15:45:57.216	1729723557216	-0.03186
15:45:57.236	1729723557236	-0.03329
15:45:57.257	1729723557257	-0.02759
15:45:57.277	1729723557277	-0.03276
15:45:57.298	1729723557298	-0.03271
15:45:57.318	1729723557318	-0.03151
15:45:57.342	1729723557342	-0.02784
15:45:57.359	1729723557359	-0.02961
15:45:57.379	1729723557379	-0.02935
15:45:57.400	1729723557400	-0.03224
15:45:57.420	1729723557420	-0.03246
15:45:57.441	1729723557441	-0.03793
15:45:57.461	1729723557461	-0.02731
15:45:57.483	1729723557483	-0.03239
15:45:57.502	1729723557502	-0.03214
15:45:57.523	1729723557523	-0.02386
15:45:57.544	1729723557544	-0.02875
15:45:57.564	1729723557564	-0.03199
15:45:57.584	1729723557584	-0.03748
15:45:57.606	1729723557606	-0.02559
15:45:57.625	1729723557625	-0.03849
15:45:57.646	1729723557646	-0.03031
15:45:57.666	1729723557666	-0.02655
15:45:57.689	1729723557689	-0.02933
15:45:57.707	1729723557707	-0.03699
15:45:57.728	1729723557728	-0.03481
15:45:57.748	1729723557748	-0.02302
15:45:57.769	1729723557769	-0.03079
15:45:57.789	1729723557789	-0.03023
15:45:57.810	1729723557810	-0.03049
15:45:57.830	1729723557830	-0.02455
15:45:57.850	1729723557850	-0.02708
15:45:57.871	1729723557871	-0.03369
15:45:57.893	1729723557893	-0.02991
15:45:57.915	1729723557915	-0.03164
15:45:57.932	1729723557932	-0.03647
15:45:57.953	1729723557953	-0.03096
15:45:57.973	1729723557973	-0.03642
15:45:57.994	1729723557994	-0.02903
15:45:58.014	1729723558014	-0.04043
15:45:58.035	1729723558035	-0.02419
15:45:58.055	1729723558055	-0.0356
15:45:58.076	1729723558076	-0.03714
15:45:58.096	1729723558096	-0.03106
15:45:58.117	1729723558117	-0.0356
15:45:58.137	1729723558137	-0.03046
15:45:58.158	1729723558158	-0.02711
15:45:58.178	1729723558178	-0.03276
15:45:58.199	1729723558199	-0.03361
15:45:58.219	1729723558219	-0.03211
15:45:58.239	1729723558239	-0.03084
15:45:58.260	1729723558260	-0.03535
15:45:58.280	1729723558280	-0.02983
15:45:58.301	1729723558301	-0.03852
15:45:58.321	1729723558321	-0.03535
15:45:58.342	1729723558342	-0.03274
15:45:58.362	1729723558362	-0.02953
15:45:58.383	1729723558383	-0.02572
15:45:58.465	1729723558465	-0.0291
15:45:58.485	1729723558485	-0.02343
15:45:58.506	1729723558506	-0.03396
15:45:58.526	1729723558526	-0.03341
15:45:58.547	1729723558547	-0.03018
15:45:58.567	1729723558567	-0.02943
15:45:58.567	1729723558567	-0.02943
15:45:58.588	1729723558588	-0.02368
15:45:58.608	1729723558608	-0.03518
15:45:58.629	1729723558629	-0.03196
15:45:58.670	1729723558670	-0.02878
15:45:58.690	1729723558690	-0.03296
15:45:58.690	1729723558690	-0.03296
15:45:58.711	1729723558711	-0.03448
15:45:58.731	1729723558731	-0.03234
15:45:58.752	1729723558752	-0.02416
15:45:58.772	1729723558772	-0.02918
15:45:58.793	1729723558793	-0.03461
15:45:58.813	1729723558813	-0.02381
15:45:58.833	1729723558833	-0.03204
15:45:58.854	1729723558854	-0.02678
15:45:58.874	1729723558874	-0.03647
15:45:58.895	1729723558895	-0.02718
15:45:58.915	1729723558915	-0.03842
15:45:58.936	1729723558936	-0.02976
15:45:58.956	1729723558956	-0.03091
15:45:58.977	1729723558977	-0.02769
15:45:58.997	1729723558997	-0.02422
15:45:59.018	1729723559018	-0.02521
15:45:59.038	1729723559038	-0.0266
15:45:59.059	1729723559059	-0.01981
15:45:59.079	1729723559079	-0.03066
15:45:59.099	1729723559099	-0.0248
15:45:59.120	1729723559120	-0.029
15:45:59.141	1729723559141	-0.02865
15:45:59.163	1729723559163	-0.03854
15:45:59.182	1729723559182	-0.03104
15:45:59.202	1729723559202	-0.02832
15:45:59.222	1729723559222	-0.03624
15:45:59.243	1729723559243	-0.02455
15:45:59.263	1729723559263	-0.03339
15:45:59.284	1729723559284	-0.02572
15:45:59.305	1729723559305	-0.02622
15:45:59.325	1729723559325	-0.03091
15:45:59.345	1729723559345	-0.02123
15:45:59.366	1729723559366	-0.03505
15:45:59.386	1729723559386	-0.01718
15:45:59.409	1729723559409	-0.02865
15:45:59.427	1729723559427	-0.03049
15:45:59.448	1729723559448	-0.03051
15:45:59.468	1729723559468	-0.02617
15:45:59.489	1729723559489	-0.0292
15:45:59.509	1729723559509	-0.03181
15:45:59.530	1729723559530	-0.03194
15:45:59.550	1729723559550	-0.03555
15:45:59.571	1729723559571	-0.02888
15:45:59.591	1729723559591	-0.02767
15:45:59.613	1729723559613	-0.03286
15:45:59.632	1729723559632	-0.03174
15:45:59.652	1729723559652	-0.02605
15:45:59.673	1729723559673	-0.02248
15:45:59.693	1729723559693	-0.02696
15:45:59.714	1729723559714	-0.0361
15:45:59.735	1729723559735	-0.03466
15:45:59.755	1729723559755	-0.02561
15:45:59.775	1729723559775	-0.02625
15:45:59.796	1729723559796	-0.03488
15:45:59.796	1729723559796	-0.03488
15:45:59.840	1729723559840	-0.03038
15:45:59.857	1729723559857	-0.02754
15:45:59.878	1729723559878	-0.03309
15:45:59.898	1729723559898	-0.03334
15:45:59.919	1729723559919	-0.0221
15:45:59.941	1729723559941	-0.0249
15:45:59.960	1729723559960	-0.02754
15:45:59.980	1729723559980	-0.03795
15:46:00.000	1729723560000	-0.02968
15:46:00.021	1729723560021	-0.04014
15:46:00.041	1729723560041	-0.03406
15:46:00.062	1729723560062	-0.02963
15:46:00.083	1729723560083	-0.02943
15:46:00.083	1729723560083	-0.02943
15:46:00.103	1729723560103	-0.02128
15:46:00.123	1729723560123	-0.03346
15:46:00.144	1729723560144	-0.03196
15:46:00.164	1729723560164	-0.03038
