Data from roomtemp_18.6_mrosen_r2_290 nm__0__14-33-30-342.txt Node

Standard Time	Epoch Time		Value
HH:MM:SS:000	(msec 1970)
14:33:33.606	1729892013606	0.03096
14:33:33.625	1729892013625	0.03975
14:33:33.645	1729892013645	0.03588
14:33:33.665	1729892013665	0.03588
14:33:33.684	1729892013684	0.03176
14:33:33.704	1729892013704	0.0222
14:33:33.723	1729892013723	0.03012
14:33:33.743	1729892013743	0.02212
14:33:33.762	1729892013762	0.03173
14:33:33.781	1729892013781	0.02608
14:33:33.800	1729892013800	0.02796
14:33:33.820	1729892013820	0.02914
14:33:33.840	1729892013840	0.02318
14:33:33.859	1729892013859	0.02891
14:33:33.878	1729892013878	0.04116
14:33:33.898	1729892013898	0.03234
14:33:33.917	1729892013917	0.02649
14:33:33.937	1729892013937	0.03202
14:33:33.956	1729892013956	0.02592
14:33:33.976	1729892013976	0.02786
14:33:33.995	1729892013995	0.0307
14:33:34.015	1729892014015	0.03081
14:33:34.073	1729892014073	0.02846
14:33:36.174	1729892016174	0.02508
14:33:36.680	1729892016680	0.02636
14:33:36.699	1729892016699	0.02833
14:33:36.719	1729892016719	0.02566
14:33:36.738	1729892016738	0.03044
14:33:36.758	1729892016758	0.03112
14:33:36.777	1729892016777	0.02744
14:33:36.796	1729892016796	0.0292
14:33:36.816	1729892016816	0.02943
14:33:36.835	1729892016835	0.02843
14:33:36.855	1729892016855	0.03126
14:33:36.874	1729892016874	0.03642
14:33:36.894	1729892016894	0.03258
14:33:36.913	1729892016913	0.02933
14:33:36.932	1729892016932	0.03224
14:33:36.952	1729892016952	0.0297
14:33:36.971	1729892016971	0.02516
14:33:36.991	1729892016991	0.02295
14:33:37.010	1729892017010	0.03548
14:33:37.010	1729892017010	0.03548
14:33:37.030	1729892017030	0.02594
14:33:37.049	1729892017049	0.0303
14:33:37.069	1729892017069	0.03099
14:33:37.069	1729892017069	0.03099
14:33:37.088	1729892017088	0.02765
14:33:37.088	1729892017088	0.02765
14:33:37.108	1729892017108	0.02676
14:33:37.108	1729892017108	0.02676
14:33:37.127	1729892017127	0.02704
14:33:37.127	1729892017127	0.02704
14:33:37.127	1729892017127	0.02704
14:33:37.146	1729892017146	0.03115
14:33:37.166	1729892017166	0.02715
14:33:37.166	1729892017166	0.02715
14:33:37.185	1729892017185	0.03023
14:33:37.205	1729892017205	0.03375
14:33:37.205	1729892017205	0.03375
14:33:37.205	1729892017205	0.03375
14:33:37.238	1729892017238	0.02762
14:33:37.264	1729892017264	0.02678
14:33:37.283	1729892017283	0.02859
14:33:37.302	1729892017302	0.02482
14:33:37.322	1729892017322	0.02901
14:33:37.340	1729892017340	0.03261
14:33:37.380	1729892017380	0.02472
14:33:37.400	1729892017400	0.03229
14:33:37.419	1729892017419	0.03118
14:33:37.439	1729892017439	0.02519
14:33:37.457	1729892017457	0.02833
14:33:37.477	1729892017477	0.02655
14:33:37.497	1729892017497	0.03527
14:33:37.516	1729892017516	0.02467
14:33:37.536	1729892017536	0.02843
14:33:37.555	1729892017555	0.03015
14:33:37.574	1729892017574	0.02936
14:33:37.594	1729892017594	0.02936
14:33:37.613	1729892017613	0.0311
14:33:37.632	1729892017632	0.02796
14:33:37.672	1729892017672	0.03309
14:33:37.691	1729892017691	0.03186
14:33:37.691	1729892017691	0.03186
14:33:37.711	1729892017711	0.03343
14:33:37.730	1729892017730	0.02008
14:33:37.769	1729892017769	0.03023
14:33:37.788	1729892017788	0.02812
14:33:37.808	1729892017808	0.02662
14:33:37.827	1729892017827	0.0255
14:33:37.847	1729892017847	0.02441
14:33:37.866	1729892017866	0.02668
14:33:37.886	1729892017886	0.02941
14:33:37.905	1729892017905	0.02542
14:33:37.925	1729892017925	0.02712
14:33:37.944	1729892017944	0.02754
14:33:37.963	1729892017963	0.02623
14:33:37.983	1729892017983	0.02527
14:33:38.002	1729892018002	0.038
14:33:38.002	1729892018002	0.038
14:33:38.035	1729892018035	0.02277
14:33:38.061	1729892018061	0.03245
14:33:38.080	1729892018080	0.03213
14:33:38.100	1729892018100	0.02767
14:33:38.119	1729892018119	0.03112
14:33:38.139	1729892018139	0.03274
14:33:38.158	1729892018158	0.03287
14:33:38.177	1729892018177	0.03065
14:33:38.197	1729892018197	0.02378
14:33:38.217	1729892018217	0.02266
14:33:38.236	1729892018236	0.02508
14:33:38.256	1729892018256	0.02628
14:33:38.275	1729892018275	0.03062
14:33:38.294	1729892018294	0.02368
14:33:38.333	1729892018333	0.02576
14:33:38.353	1729892018353	0.02891
14:33:38.374	1729892018374	0.02867
14:33:38.393	1729892018393	0.02678
14:33:38.411	1729892018411	0.03007
14:33:38.430	1729892018430	0.03065
14:33:38.450	1729892018450	0.03015
14:33:38.469	1729892018469	0.0277
14:33:38.489	1729892018489	0.04048
14:33:38.508	1729892018508	0.03176
14:33:38.528	1729892018528	0.03171
14:33:38.547	1729892018547	0.03144
14:33:38.566	1729892018566	0.03306
14:33:38.586	1729892018586	0.03229
14:33:38.605	1729892018605	0.03508
14:33:38.625	1729892018625	0.03338
14:33:38.644	1729892018644	0.02804
14:33:38.664	1729892018664	0.03004
14:33:38.683	1729892018683	0.02602
14:33:38.722	1729892018722	0.03551
14:33:38.741	1729892018741	0.03327
14:33:38.761	1729892018761	0.03388
14:33:38.780	1729892018780	0.02524
14:33:38.800	1729892018800	0.02778
14:33:38.819	1729892018819	0.03578
14:33:38.839	1729892018839	0.03447
14:33:38.858	1729892018858	0.02951
14:33:38.878	1729892018878	0.02532
14:33:38.897	1729892018897	0.02461
14:33:38.917	1729892018917	0.02851
14:33:38.936	1729892018936	0.0329
14:33:38.975	1729892018975	0.03017
14:33:38.994	1729892018994	0.02446
14:33:39.014	1729892019014	0.02318
14:33:39.033	1729892019033	0.0325
14:33:39.033	1729892019033	0.0325
14:33:39.072	1729892019072	0.02493
14:33:39.092	1729892019092	0.02587
14:33:39.111	1729892019111	0.03168
14:33:39.131	1729892019131	0.0293
14:33:39.131	1729892019131	0.0293
14:33:39.150	1729892019150	0.03266
14:33:39.170	1729892019170	0.02673
14:33:39.189	1729892019189	0.03118
14:33:39.208	1729892019208	0.0303
14:33:39.208	1729892019208	0.0303
14:33:39.228	1729892019228	0.02279
14:33:39.228	1729892019228	0.02279
14:33:39.247	1729892019247	0.03867
14:33:39.247	1729892019247	0.03867
14:33:39.267	1729892019267	0.03052
14:33:39.267	1729892019267	0.03052
14:33:39.267	1729892019267	0.03052
14:33:39.286	1729892019286	0.02644
14:33:39.286	1729892019286	0.02644
14:33:39.306	1729892019306	0.02636
14:33:39.306	1729892019306	0.02636
14:33:39.345	1729892019345	0.02621
